,bond_price,stock_price,bond_rtn,stock_rtn,diff,bond_pos,stock_pos
2022-06-20 10:53:00,150.73,136.01,0.010457866863310405,0.02124943685238012,-0.010791569989069716,1.0,-1.0
2022-06-20 10:54:00,150.8,136.13,0.010927130119997575,0.02215047304400053,-0.011223342924002955,1.0,-1.0
2022-06-20 10:55:00,150.92,136.5,0.011731581417175008,0.024928667968163287,-0.01319708655098828,1.0,-1.0
2022-06-20 10:56:00,151.02,136.54,0.012401957498156646,0.02522901336537009,-0.012827055867213444,1.0,-1.0
2022-06-20 10:57:00,151.37,136.8,0.014748273781591603,0.027181258447214418,-0.012432984665622815,1.0,-1.0
2022-06-20 10:58:00,151.17,136.86,0.013407521619628548,0.02763177654302451,-0.014224254923395963,1.0,-1.0
2022-06-20 10:59:00,151.16,136.7,0.01334048401153054,0.02643039495419708,-0.013089910942666538,1.0,-1.0
2022-06-20 11:00:00,151.01,136.45,0.012334919890058416,0.02455323622165473,-0.012218316331596313,1.0,-1.0
2022-06-20 11:01:00,150.99,136.1,0.012200844673862177,0.021925213996095483,-0.009724369322233306,1.0,-1.0
2022-06-20 11:02:00,151.0,136.36,0.012267882281960185,0.02387745907793959,-0.011609576795979404,1.0,-1.0
2022-06-20 11:03:00,151.08,136.42,0.012804183146745585,0.024327977173749682,-0.011523794027004097,1.0,-1.0
2022-06-20 11:04:00,151.44,136.94,0.01521753703827855,0.028232467337437894,-0.013014930299159344,1.0,-1.0
2022-06-20 11:05:00,151.86,137.83,0.018033116578400676,0.03491515242528909,-0.01688203584688841,1.0,-1.0
2022-06-20 11:06:00,151.8,137.96,0.017630890929811738,0.03589127496621125,-0.018260384036399513,1.0,-1.0
2022-06-20 11:07:00,151.65,137.6,0.016625326808339613,0.03318816639135003,-0.016562839583010414,1.0,-1.0
2022-06-20 11:08:00,151.79,137.77,0.017563853321713507,0.034464634329478994,-0.016900781007765486,1.0,-1.0
2022-06-20 11:09:00,151.64,136.9,0.016558289200241383,0.027932121940231314,-0.01137383273998993,1.0,-1.0
2022-06-20 11:10:00,151.68,136.78,0.016826439632634083,0.027031085748610906,-0.010204646115976823,1.0,-1.0
2022-06-20 11:11:00,151.74,137.13,0.01722866528122302,0.02965910797417015,-0.01243044269294713,1.0,-1.0
2022-06-20 11:12:00,151.89,136.3,0.018234229402694924,0.023426940982129496,-0.005192711579434572,1.0,-1.0
2022-06-20 11:13:00,151.77,136.5,0.01742977810551727,0.024928667968163287,-0.007498889862646019,1.0,-1.0
2022-06-20 11:14:00,151.85,136.53,0.017966078970302446,0.025153927016068334,-0.007187848045765888,1.0,-1.0
2022-06-20 11:15:00,151.84,136.86,0.017899041362204215,0.02763177654302451,-0.009732735180820296,1.0,-1.0
2022-06-20 11:16:00,151.79,137.0,0.017563853321713507,0.02868298543324821,-0.011119132111534702,1.0,-1.0
